,x1,x2,x3,y,yn1,yn2,yn3
0,-76.0,-794.0,902.0,5677.4,5682.7292917886625,5611.683051751821,5616.198451606527
1,-7.0,413.0,-1025.0,-9023.7,-9013.446118534419,-9009.834422692726,-8974.550167622645
2,-49.0,-71.0,-696.0,-7669.1,-7667.750574379431,-7788.37170039304,-7712.891884058362
3,-48.0,-719.0,-1452.0,-16814.1,-16810.679934581436,-16872.17664834343,-16988.258127096295
4,111.0,208.0,2673.0,28244.4,28240.64423431407,28236.871412186443,28168.61946768227
5,-75.0,661.0,749.0,8119.900000000001,8137.066107907315,8135.673932758288,8096.268108382239
6,-98.0,-760.0,1231.0,8698.600000000002,8721.220308756945,8616.233736263215,8798.325362910176
7,-43.0,804.0,1828.0,19509.0,19510.890772589286,19576.16845980706,19530.189802161665
8,51.0,23.0,1064.0,11172.7,11167.842119719333,11173.690814296728,11149.706404988345
9,-130.0,-1101.0,-900.0,-13534.7,-13517.802582298145,-13530.68655303025,-13521.594399052867
10,-62.0,1333.0,-607.0,-3180.3,-3200.8214852590363,-3142.1534987266627,-3092.9067758530423
11,-100.0,714.0,557.0,6046.400000000001,6038.98691131291,6086.752174135794,6092.3926280329515
12,-205.0,-652.0,-2290.0,-26949.4,-26946.061527565063,-26953.680041627977,-26937.88009565025
13,-109.0,-671.0,1175.0,8242.7,8240.09640221439,8171.509572093187,8338.00480790859
14,-97.0,-255.0,-1087.0,-12640.9,-12643.179921154153,-12618.62870619151,-12436.580378145149
15,189.0,-339.0,534.0,6850.5,6848.308304551908,6844.368347631628,6795.386563356847
16,30.0,-15.0,-348.0,-3048.9,-3029.2952315553384,-3002.289829076103,-2947.8895299102282
17,53.0,471.0,-411.0,-2045.9,-2040.1126532691364,-2121.1987592083888,-2078.2199688043106
18,193.0,-320.0,-778.0,-5902.200000000001,-5908.687741911046,-5858.629159499888,-6054.192712535794
19,-2.0,-218.0,899.0,8194.800000000001,8200.022306267821,8163.579894455184,8235.610047887003
20,39.0,-193.0,499.0,4891.700000000001,4888.592341318578,4775.902309243415,4735.842343210029
21,85.0,-512.0,-699.0,-7093.6,-7088.443098583164,-7172.407113382006,-7238.629287456114
22,-102.0,-336.0,75.0,-1539.0,-1539.6205880194657,-1501.6588130850832,-1390.084119261175
23,158.0,642.0,-1610.0,-11927.400000000001,-11920.31567699726,-11900.293981126344,-12078.13909800301
24,-69.0,25.0,295.0,2033.9,2042.182951470032,1966.8415813042143,2047.3686487026466
25,87.0,182.0,726.0,8772.0,8760.740033916481,8757.202704388232,8826.200529928205
26,-9.0,337.0,-679.0,-5864.900000000001,-5853.627556754857,-5879.9788523365505,-5845.782318034811
27,-73.0,-127.0,215.0,785.8999999999999,807.8311885086306,845.4895593257636,799.2078002163589
28,67.0,35.0,1401.0,14722.1,14715.944894109842,14704.220583368762,14589.104788338529
29,-29.0,719.0,1091.0,12244.500000000002,12236.20334042892,12281.819110973947,12398.426383090113
30,-38.0,113.0,839.0,8018.1,8047.340103166412,7960.3980878326,8021.179336418741
31,-97.0,-202.0,927.0,7239.400000000001,7234.165456858928,7224.807910427359,7225.060089949078
32,-136.0,-263.0,-1474.0,-16977.7,-16979.182018485557,-16999.17083533517,-17181.3577460581
33,-209.0,-43.0,1136.0,8216.100000000002,8219.341441893863,8194.638760051956,8111.9145259117495
34,36.0,-898.0,1585.0,13590.800000000001,13585.6412589453,13698.315249059215,13599.135640333812
35,-103.0,864.0,-264.0,-1634.6000000000001,-1638.916246224543,-1680.033823338058,-1543.2651445684448
36,204.0,-133.0,212.0,4452.1,4443.407894421662,4566.554380760218,4378.085228597669
37,61.0,1087.0,188.0,5594.700000000001,5581.752018619785,5668.025763498162,5514.174008165973
38,76.0,-143.0,817.0,8638.9,8628.717864409775,8607.170678065826,8732.249411357112
39,87.0,-146.0,670.0,7337.6,7313.984263999883,7333.890473907784,7411.0793214151545
40,6.0,-412.0,-1319.0,-13958.2,-13966.39285507382,-13958.533248522652,-13907.730567947947
41,-49.0,5.0,1217.0,11283.5,11291.479626392684,11337.102849346486,11245.737080011579
42,67.0,-278.0,203.0,2136.6000000000004,2145.4254110543966,2178.1539820760313,1995.1528141502333
43,86.0,-232.0,-165.0,-1091.0000000000002,-1088.3758020728294,-1068.8803278264002,-1031.3940323862403
44,-171.0,-327.0,168.0,-1527.9,-1535.9645171435486,-1649.4068353774867,-1379.1365198526692
45,-71.0,-76.0,777.0,6458.0,6447.21721071765,6488.086732134863,6561.353476671222
46,85.0,981.0,206.0,5806.5,5805.062936577105,5816.145120093557,5762.980098433924
47,98.0,152.0,355.0,5202.6,5201.579236744328,5152.5406056196525,5318.155476124923
48,46.0,220.0,1234.0,13303.6,13318.044554529572,13313.160432727485,13306.609555908319
49,182.0,-198.0,-443.0,-2437.2000000000003,-2445.64375201413,-2441.9969194291707,-2378.5837707447026
50,90.0,350.0,684.0,8854.2,8855.966191959305,8845.273858990668,8961.801988704003
51,36.0,356.0,-766.0,-6063.2,-6069.190903523443,-6070.5352550599455,-5969.848383184505
52,13.0,325.0,1065.0,11488.7,11466.111430892246,11540.925665973036,11580.629457421737
53,143.0,-965.0,494.0,4151.900000000001,4155.9926086116775,4107.104593740325,4091.3920967895924
54,95.0,270.0,-66.0,1355.1999999999998,1344.7267417250748,1408.8745226661063,1403.2018514217837
55,127.0,-905.0,567.0,4814.900000000001,4821.403069066548,4725.302481785406,5066.045217687828
56,-122.0,-786.0,-544.0,-9088.2,-9077.550322399311,-9135.037502939555,-8959.224297481533
57,-78.0,-189.0,578.0,4108.900000000001,4105.283314236115,4092.3843355390827,4032.0533621508152
58,-80.0,-426.0,-967.0,-11698.8,-11696.054589051211,-11617.504148356515,-11623.57958344634
59,59.0,-454.0,2002.0,19184.4,19191.01728230956,19162.00621714044,19067.028874323674
60,288.0,1111.0,154.0,8368.1,8362.178891507388,8422.474097253595,8208.993956628345
61,88.0,598.0,-1674.0,-13611.400000000001,-13610.607970741898,-13582.083615894991,-13704.300803035409
62,130.0,-222.0,-2289.0,-21289.600000000002,-21286.958497412747,-21213.776162399587,-21151.258542118583
63,218.0,355.0,1714.0,20676.9,20670.033290156287,20723.3727398701,20550.225738783916
64,-156.0,644.0,-217.0,-2478.2000000000003,-2471.310645257739,-2548.1880633990527,-2375.730801412221
65,47.0,1030.0,-197.0,1480.2,1482.5563313256125,1479.0445908549245,1532.1018608495292
66,-11.0,237.0,464.0,5039.700000000001,5035.502980342372,5172.660680237221,4957.58418600678
67,-64.0,-426.0,1041.0,8194.0,8199.501508127772,8273.165872046258,8091.029961423605
68,222.0,846.0,127.0,6503.6,6506.887095345753,6457.079194649539,6563.5742629785855
69,83.0,872.0,-20.0,3270.6000000000004,3257.6986968677984,3246.169389499161,3178.683943826694
70,-53.0,250.0,1522.0,14880.4,14874.019122914357,14819.54252258272,14724.279611690266
71,-62.0,920.0,913.0,10600.600000000002,10599.101967930836,10596.250550227474,10404.529154681579
72,-43.0,794.0,-284.0,-1215.6000000000001,-1212.9419718571428,-1170.9108206241137,-1195.047586747413
73,-16.0,-56.0,-668.0,-6912.000000000001,-6904.699492784653,-6847.559979356363,-6917.928679997633
74,13.0,-439.0,7.0,-942.5000000000001,-952.4021755989047,-965.0085118896743,-1056.2609702131147
75,-172.0,-910.0,1273.0,7713.600000000001,7737.02584180526,7700.78893736846,7739.586429781513
76,-54.0,647.0,-779.0,-6610.900000000001,-6594.075362880113,-6619.860305052748,-6745.790707711878
77,96.0,173.0,276.0,4458.3,4447.4086421284155,4409.053933135339,4343.121192683006
78,-105.0,-558.0,-2139.0,-23875.800000000003,-23869.77692217481,-23921.12851637071,-24050.23545302268
79,43.0,-248.0,912.0,8844.2,8842.858184202618,8890.200959075526,8953.351135633668
80,-44.0,-223.0,-81.0,-1985.5,-1970.5387758625507,-2021.7560092984816,-2005.5450203335033
81,-137.0,393.0,644.0,5536.500000000001,5531.784635957177,5531.598335622612,5431.841769082946
82,97.0,-149.0,1571.0,16293.300000000001,16298.242581608572,16348.494797282168,16221.307170370315
83,-146.0,-1047.0,234.0,-2490.1,-2501.8163688544564,-2420.969570051162,-2733.7277366390304
84,-40.0,198.0,-250.0,-2451.4,-2431.8328899285057,-2409.7955013556125,-2536.1152300238605
85,184.0,-1013.0,878.0,8334.900000000001,8328.681950259745,8374.888590283965,8424.489672373618
86,-174.0,-518.0,-324.0,-6905.4,-6900.344033500982,-6937.127930208803,-6968.183865678135
87,127.0,352.0,-498.0,-2228.2000000000007,-2237.795670948008,-2179.397738748039,-2118.243093611884
88,-0.0,-306.0,-2436.0,-24699.000000000004,-24700.693790557285,-24671.066813309124,-24655.913597377057
89,-84.0,-516.0,-1284.0,-15102.0,-15107.59565450908,-15056.761353692955,-15031.957279944387
90,50.0,300.0,1057.0,11838.6,11820.48994717379,11880.361039434258,11727.85580478954
91,-75.0,-528.0,-403.0,-6380.0,-6387.149532324048,-6356.44617593822,-6291.870714362272
92,-49.0,154.0,-334.0,-3514.0000000000005,-3526.062526737007,-3478.2339650893236,-3617.9920690585345
93,-48.0,-832.0,424.0,1265.6000000000004,1269.9218617810902,1272.9900905248303,1333.1723843514442
94,-75.0,-296.0,311.0,1243.6000000000001,1249.7180595927448,1186.8920153198487,1170.0255585222665
95,205.0,-808.0,220.0,2721.3999999999996,2726.0049147335376,2648.125958016579,2792.0569767688226
96,5.0,-613.0,-338.0,-4900.5,-4905.1093027645375,-4885.1655078943595,-4899.375100078797
97,-67.0,-633.0,739.0,4635.300000000001,4642.602026927067,4573.627426900813,4530.9870489210825
98,93.0,-165.0,-1004.0,-9038.5,-9028.239120570172,-8995.218007604795,-8847.343220827916
99,-24.0,-207.0,-835.0,-9063.500000000002,-9095.561232169452,-9113.769597974844,-9003.636539797666
100,-104.0,718.0,-1105.0,-10284.0,-10276.510364427853,-10222.086369788933,-10276.910850506412
101,-8.0,371.0,-1259.0,-11443.7,-11455.326869903001,-11448.843960835715,-11587.239274055082
102,-145.0,-633.0,1424.0,10303.1,10291.011440503955,10274.045978197404,10234.562370344862
103,-77.0,-704.0,2119.0,17833.6,17841.58490589902,17780.205835902845,17687.83382313299
104,-152.0,-103.0,-920.0,-11330.9,-11337.42094549472,-11283.300312297304,-11348.179799403915
105,126.0,785.0,-755.0,-3591.100000000001,-3596.278240248813,-3704.4379426214723,-3541.1017585397444
106,-61.0,1615.0,852.0,11892.7,11879.540427404658,11901.172410639583,11737.811993831676
107,-36.0,1186.0,-1383.0,-10833.600000000002,-10819.947048694694,-10775.246213687049,-10898.356446230417
108,18.0,-143.0,-1511.0,-14952.7,-14951.314578124351,-14923.988381917778,-14923.31290677354
109,-150.0,-839.0,805.0,3613.7000000000007,3609.1067611753856,3615.519276106787,3693.786147659128
110,89.0,596.0,364.0,6369.0,6380.440645692122,6299.881531439217,6474.789575105318
111,-68.0,-343.0,-956.0,-11206.100000000002,-11216.631680973187,-11138.73915077849,-11294.637316033526
112,3.0,684.0,657.0,8325.6,8335.210613666584,8290.337435922464,8215.469711218962
113,-119.0,-610.0,-1151.0,-14521.400000000001,-14525.325729263954,-14558.99294225247,-14609.00934782418
114,-45.0,-518.0,153.0,-502.20000000000005,-488.5047291227874,-455.6035869112994,-417.81031750404577
115,15.0,766.0,-2009.0,-17419.0,-17419.912451508044,-17389.937175152325,-17459.59317504637
116,-73.0,-1122.0,164.0,-2400.4000000000005,-2402.867908848813,-2395.732767387788,-2219.2588299841896
117,-145.0,382.0,-163.0,-2509.0,-2518.617241651263,-2534.080838211959,-2480.8983458379307
118,44.0,932.0,1314.0,15983.2,15973.916509108769,15976.758931156603,15937.316386026881
119,-103.0,-437.0,1257.0,9758.5,9766.413372746625,9814.215261253781,9784.997743685099
120,-37.0,-1162.0,-64.0,-4260.400000000001,-4272.819345623649,-4308.618111934552,-4130.520068417091
121,54.0,-729.0,797.0,6565.9,6559.565731655248,6634.431796498506,6605.58951532585
122,-66.0,348.0,189.0,1907.4,1911.8455738035063,1908.671044841557,1921.6481007855205
123,67.0,-145.0,239.0,2848.5000000000005,2857.924925327614,2939.6955232893347,2960.6008764423723
124,-124.0,-337.0,347.0,829.1000000000004,820.2598187371183,806.0394930737045,935.8540321992249
125,-43.0,-257.0,-95.0,-2201.1000000000004,-2184.7641252857115,-2329.2721413925437,-2023.5239150222296
126,-5.0,-166.0,595.0,5315.8,5313.837200604257,5303.721829507134,5410.028107962529
127,125.0,190.0,-163.0,590.5999999999999,594.7754704701322,549.0683005881034,527.6668915548502
128,71.0,188.0,509.0,6447.200000000001,6446.837102168212,6433.882081003538,6317.69778083248
129,52.0,38.0,-560.0,-4688.6,-4677.465543619793,-4615.972310136763,-4714.049372716982
130,72.0,-71.0,-673.0,-5822.3,-5829.190464511308,-5857.992761887517,-5630.605843498042
131,-132.0,-376.0,1878.0,15620.400000000001,15607.252682315033,15743.033179610316,15726.27886265576
132,30.0,-231.0,527.0,4942.900000000001,4919.2877270463305,4916.754535594327,4938.842850137384
133,11.0,-177.0,1541.0,14771.300000000001,14761.834340943115,14732.277889415225,14706.082104974976
134,7.0,819.0,1066.0,12751.900000000001,12773.314763106038,12750.032516155861,12780.652623185193
135,-263.0,-591.0,-52.0,-5629.500000000001,-5627.136854378082,-5722.6305753315755,-5775.880768569751
136,137.0,-276.0,-1262.0,-11277.0,-11275.099931019196,-11175.832999746339,-11308.69103399055
137,110.0,320.0,-132.0,1044.3999999999999,1055.971784815457,1049.8661570896186,791.2816685292445
138,162.0,899.0,-2221.0,-17167.700000000004,-17156.76846147437,-17216.557516773595,-17220.74798924986
139,27.0,-1049.0,1726.0,14444.300000000003,14433.02340108641,14469.81501825703,14485.433723113862
140,-58.0,291.0,457.0,4487.1,4479.093753501437,4430.173527297587,4441.683349604794
141,43.0,187.0,1585.0,16614.100000000002,16616.227329687328,16598.263879260354,16634.50518827021
142,153.0,158.0,-565.0,-3060.2,-3048.5598428975923,-3110.243537755694,-3210.5715435172483
143,58.0,32.0,-415.0,-3203.4000000000005,-3205.6996832711993,-3150.099060435337,-3202.778281422783
144,-64.0,442.0,428.0,4530.200000000001,4539.976852504131,4524.097557772354,4701.79558604502
145,-239.0,252.0,-284.0,-5305.4,-5293.106753520082,-5251.489674680168,-5200.392335082041
146,-89.0,-565.0,1181.0,8855.7,8845.557033651126,8834.218588691456,8819.494657455156
147,-8.0,381.0,433.0,5164.900000000001,5165.0101767533,5163.367880287975,5214.604224895917
148,-81.0,-131.0,430.0,2774.8999999999996,2765.0817948479785,2784.6166965292186,2667.317984337974
149,95.0,514.0,-200.0,700.8,695.2452262143436,659.4849664600384,549.7419519105314
150,14.0,28.0,-1468.0,-14123.2,-14125.006550624374,-14118.251290527021,-14205.246895595972
151,70.0,639.0,-137.0,1320.7,1323.6730896486727,1170.145401812067,1601.018897407817
152,101.0,89.0,806.0,9492.5,9500.316571670173,9517.122758585145,9584.476591292518
153,22.0,-146.0,87.0,753.2,744.0870969001427,818.7134691692758,696.0317385314171
154,48.0,393.0,148.0,3154.7000000000003,3138.1656130171095,3176.9638036364154,3270.524476029277
155,-63.0,-937.0,1900.0,15245.9,15219.761356835077,15255.925707510025,15136.142818055243
156,-33.0,43.0,-650.0,-6696.100000000001,-6689.721510705366,-6708.167532859171,-6716.697196518089
157,45.0,532.0,516.0,7096.200000000001,7097.973255279161,7092.3104897621115,7209.236549778842
158,162.0,381.0,962.0,12627.1,12631.773279919767,12618.49603450463,12622.559927959346
159,44.0,-359.0,-1408.0,-14178.100000000002,-14175.94898911022,-14089.088141032771,-14141.599506008615
160,-107.0,474.0,56.0,394.8000000000003,384.1943811850868,438.4763918469031,501.29865122756377
161,-71.0,-97.0,2696.0,25207.500000000004,25200.54179801057,25204.116002968083,25304.949963762425
162,-114.0,591.0,-1024.0,-9967.1,-9967.96339450019,-9924.687625475519,-9853.17001443398
163,176.0,346.0,-964.0,-6154.6,-6152.819900270311,-6233.497982021998,-6009.953436625384
164,-118.0,-218.0,-850.0,-10499.8,-10509.075549471585,-10532.916999035913,-10452.969273089035
165,83.0,-631.0,608.0,5366.900000000001,5364.82776409688,5416.977782754425,5331.1014815430035
166,146.0,-184.0,-744.0,-5831.6,-5817.462861399346,-5876.205254329596,-5864.451292857019
167,48.0,-71.0,-263.0,-2125.9,-2128.4724874249396,-2142.0357457364044,-2181.9185213710007
168,-142.0,-229.0,-187.0,-4353.7,-4353.3461966095265,-4347.9193003255405,-4281.7013830879705
169,172.0,120.0,925.0,11693.8,11689.701141479643,11666.790056701244,11761.34933791919
170,114.0,-273.0,1100.0,11570.5,11560.845836221113,11581.027819197345,11460.180237195553
171,69.0,301.0,315.0,4824.3,4816.00385280391,4732.941455804473,4598.674736762062
172,-30.0,-647.0,-579.0,-7823.1,-7813.934906430728,-7907.116513468825,-7747.66893153703
173,108.0,-26.0,-1286.0,-11225.800000000001,-11224.920297865394,-11221.71120613108,-11156.827295107485
174,3.0,198.0,1476.0,15039.6,15044.209618020835,15006.489278000143,14916.540861214773
175,90.0,-259.0,-84.0,-316.5000000000001,-311.4451953227816,-368.45827121998786,-288.16655662133576
176,-274.0,603.0,1097.0,8707.1,8703.10911635242,8810.853091406345,8777.155929772634
177,47.0,186.0,334.0,4405.200000000001,4413.114148891731,4476.318569065521,4268.658046238738
178,-148.0,-38.0,1798.0,15534.600000000002,15529.184669036857,15526.900471943247,15432.25003469299
179,60.0,-365.0,2182.0,21202.100000000002,21218.48210969087,21145.60395488542,21364.730772801653
