,x1,x2,x3,y,yn
0,-3.0,9.0,-27.0,-78.2,-171.84410313625892
1,13.0,169.0,2197.0,9131.400000000001,9318.30083047777
2,18.0,324.0,5832.0,23422.900000000005,23555.660959071425
3,15.0,225.0,3375.0,13796.2,13807.745811521156
4,24.0,576.0,13824.0,54340.299999999996,54270.29958415619
5,5.0,25.0,125.0,648.2,739.2381287983732
6,9.0,81.0,729.0,3209.7999999999997,3239.3050184461376
7,4.0,16.0,64.0,366.29999999999995,464.60239233246193
8,3.0,9.0,27.0,183.4,323.3161815013659
9,2.0,4.0,8.0,77.3,-39.935241910793266
10,-19.0,361.0,-6859.0,-23726.200000000004,-23693.152174238287
11,-4.0,16.0,-64.0,-189.70000000000005,-109.71321663763523
12,4.0,16.0,64.0,366.29999999999995,337.91963877452895
13,-5.0,25.0,-125.0,-379.8,-569.2884518097611
14,6.0,36.0,216.0,1051.3000000000002,1138.4535322722807
15,5.0,25.0,125.0,648.2,737.0634137483868
16,-15.0,225.0,-3375.0,-11487.8,-11437.817280961333
17,-0.0,0.0,-0.0,6.7,126.00272000224697
18,-3.0,9.0,-27.0,-78.2,-297.7638371503266
19,-1.0,1.0,-1.0,-2.200000000000002,-98.21256407502793
20,-11.0,121.0,-1331.0,-4414.200000000001,-4375.88840443094
21,2.0,4.0,8.0,77.3,53.60564111481774
22,-7.0,49.0,-343.0,-1084.6000000000001,-1145.5271978295987
23,7.0,49.0,343.0,1597.8,1485.0231261178844
24,13.0,169.0,2197.0,9131.400000000001,9033.256425414167
25,-6.0,36.0,-216.0,-670.6999999999999,-797.6499245064597
26,-22.0,484.0,-10648.0,-37149.1,-37026.653251467105
27,8.0,64.0,512.0,2309.9,2196.77998600421
28,12.0,144.0,1728.0,7258.3,7179.347296744781
29,-0.0,0.0,-0.0,6.7,-30.59633952462448
30,4.0,16.0,64.0,366.29999999999995,429.0993528724382
31,-12.0,144.0,-1728.0,-5776.100000000001,-5905.238453963232
32,-7.0,49.0,-343.0,-1084.6000000000001,-1017.7727345685166
33,-4.0,16.0,-64.0,-189.70000000000005,65.64009442296947
34,-11.0,121.0,-1331.0,-4414.200000000001,-4551.834787541027
35,-16.0,256.0,-4096.0,-14007.699999999999,-14042.507503918414
36,2.0,4.0,8.0,77.3,306.581641711914
37,11.0,121.0,1331.0,5661.799999999999,5815.881582601276
38,-5.0,25.0,-125.0,-379.8,-247.43450855732843
39,-2.0,4.0,-8.0,-23.100000000000005,43.08578772230864
40,14.0,196.0,2744.0,11303.300000000003,11350.48870152694
41,-0.0,0.0,-0.0,6.7,79.44645123287903
42,-11.0,121.0,-1331.0,-4414.200000000001,-4434.774901053061
43,-2.0,4.0,-8.0,-23.100000000000005,-22.186630672859415
44,14.0,196.0,2744.0,11303.300000000003,11451.891590523075
45,1.0,1.0,1.0,25.8,169.6841575805261
46,-0.0,0.0,-0.0,6.7,-47.50260422953558
47,-9.0,81.0,-729.0,-2370.2000000000003,-2360.232892909293
48,-10.0,100.0,-1000.0,-3286.3,-3214.4887114791422
49,-13.0,169.0,-2197.0,-7394.200000000001,-7486.805458153915
50,-8.0,64.0,-512.0,-1643.7,-1739.2909179686833
51,-21.0,441.0,-9261.0,-32226.200000000004,-32332.24998011783
52,-6.0,36.0,-216.0,-670.6999999999999,-454.6707221722619
53,-7.0,49.0,-343.0,-1084.6000000000001,-988.2790091310821
54,-14.0,196.0,-2744.0,-9290.7,-9226.072318242783
55,-14.0,196.0,-2744.0,-9290.7,-9328.978447377442
56,-4.0,16.0,-64.0,-189.70000000000005,-175.6363141698225
57,-2.0,4.0,-8.0,-23.100000000000005,-37.25237408612061
58,-0.0,0.0,-0.0,6.7,-127.59348934427602
59,-3.0,9.0,-27.0,-78.2,-60.154940451931935
60,-5.0,25.0,-125.0,-379.8,-533.9470484375112
61,-1.0,1.0,-1.0,-2.200000000000002,36.85489511397152
62,2.0,4.0,8.0,77.3,161.10031588564794
63,-11.0,121.0,-1331.0,-4414.200000000001,-4247.487771475067
64,-1.0,1.0,-1.0,-2.200000000000002,-53.70459130941343
65,-5.0,25.0,-125.0,-379.8,-406.6953655531974
66,-9.0,81.0,-729.0,-2370.2000000000003,-2263.3436762232177
67,12.0,144.0,1728.0,7258.3,7204.612094858454
68,11.0,121.0,1331.0,5661.799999999999,5609.999557774808
69,20.0,400.0,8000.0,31852.7,31710.998411918517
70,10.0,100.0,1000.0,4319.7,4216.86501758492
71,-5.0,25.0,-125.0,-379.8,-366.6206156578321
72,-10.0,100.0,-1000.0,-3286.3,-3267.5601413329873
73,16.0,256.0,4096.0,16632.3,16658.18623940238
74,1.0,1.0,1.0,25.8,-176.5572363992522
75,9.0,81.0,729.0,3209.7999999999997,3400.1943280865216
76,5.0,25.0,125.0,648.2,626.0221272177649
77,15.0,225.0,3375.0,13796.2,13840.895437192628
78,-13.0,169.0,-2197.0,-7394.200000000001,-7438.508055625823
79,9.0,81.0,729.0,3209.7999999999997,3420.101309294405
80,-10.0,100.0,-1000.0,-3286.3,-3320.8723123397967
81,-4.0,16.0,-64.0,-189.70000000000005,-66.06610664084316
82,-1.0,1.0,-1.0,-2.200000000000002,167.91600701250178
83,5.0,25.0,125.0,648.2,675.7443910243179
84,10.0,100.0,1000.0,4319.7,4410.176640250731
85,9.0,81.0,729.0,3209.7999999999997,3070.84492041691
86,3.0,9.0,27.0,183.4,373.54265522530045
87,2.0,4.0,8.0,77.3,22.694249982603168
88,3.0,9.0,27.0,183.4,148.3632662688106
89,-12.0,144.0,-1728.0,-5776.100000000001,-5826.981094772226
90,-5.0,25.0,-125.0,-379.8,-271.5206937836496
91,-7.0,49.0,-343.0,-1084.6000000000001,-1301.946475198741
92,-5.0,25.0,-125.0,-379.8,-298.5685819448108
93,-2.0,4.0,-8.0,-23.100000000000005,141.69023649030788
94,13.0,169.0,2197.0,9131.400000000001,9101.37855037903
95,1.0,1.0,1.0,25.8,134.09244718628793
96,14.0,196.0,2744.0,11303.300000000003,11140.705090234083
97,1.0,1.0,1.0,25.8,-89.50804857386812
98,-1.0,1.0,-1.0,-2.200000000000002,-13.178543746269593
99,-12.0,144.0,-1728.0,-5776.100000000001,-5660.264495746287
100,3.0,9.0,27.0,183.4,197.194548256446
101,-11.0,121.0,-1331.0,-4414.200000000001,-4260.045170867103
102,18.0,324.0,5832.0,23422.900000000005,23260.605753214924
103,17.0,289.0,4913.0,19833.800000000003,19893.181254983734
104,-17.0,289.0,-4913.0,-16872.6,-16934.13783234387
105,-2.0,4.0,-8.0,-23.100000000000005,-84.81252997831544
106,7.0,49.0,343.0,1597.8,1553.9159413963644
107,-6.0,36.0,-216.0,-670.6999999999999,-733.8984264522016
108,-11.0,121.0,-1331.0,-4414.200000000001,-4501.404518901087
109,3.0,9.0,27.0,183.4,81.67991480760956
110,7.0,49.0,343.0,1597.8,1435.3603607963817
111,-9.0,81.0,-729.0,-2370.2000000000003,-2499.130868766371
112,-16.0,256.0,-4096.0,-14007.699999999999,-14140.470676725763
113,-8.0,64.0,-512.0,-1643.7,-1662.1879239361667
114,-3.0,9.0,-27.0,-78.2,-13.84209584994133
115,2.0,4.0,8.0,77.3,103.7722607430885
116,-0.0,0.0,-0.0,6.7,70.87861358443398
117,-5.0,25.0,-125.0,-379.8,-338.13511533948576
118,2.0,4.0,8.0,77.3,67.21013350870692
119,6.0,36.0,216.0,1051.3000000000002,1064.9570505754311
120,9.0,81.0,729.0,3209.7999999999997,3123.2365354064177
121,26.0,676.0,17576.0,68753.3,68766.09819456752
122,2.0,4.0,8.0,77.3,-2.6689564884927393
123,-9.0,81.0,-729.0,-2370.2000000000003,-2346.413516630234
124,14.0,196.0,2744.0,11303.300000000003,11335.681166914428
125,-26.0,676.0,-17576.0,-61844.70000000001,-61776.761866492394
126,7.0,49.0,343.0,1597.8,1519.3125372247416
127,3.0,9.0,27.0,183.4,174.3192747601887
128,-5.0,25.0,-125.0,-379.8,-287.9706017117238
129,-9.0,81.0,-729.0,-2370.2000000000003,-2470.922223885641
130,-4.0,16.0,-64.0,-189.70000000000005,-117.83014173096112
131,-19.0,361.0,-6859.0,-23726.200000000004,-23783.03158252655
132,19.0,361.0,6859.0,27421.800000000003,27511.726936374376
133,-3.0,9.0,-27.0,-78.2,25.902065388332502
134,-13.0,169.0,-2197.0,-7394.200000000001,-7333.938487570277
135,-21.0,441.0,-9261.0,-32226.200000000004,-32329.13701126753
136,-17.0,289.0,-4913.0,-16872.6,-17093.172183713585
137,-8.0,64.0,-512.0,-1643.7,-1679.8290500254548
138,-5.0,25.0,-125.0,-379.8,-362.20060858648174
139,11.0,121.0,1331.0,5661.799999999999,5664.326982486978
140,22.0,484.0,10648.0,42099.299999999996,41840.54290154271
