Month,Inflation,gpf_subs,gpf_withdrawal
Sept,7.972747769,20000,0
Oct,3.013641236,20000,0
Nov,7.702430762,20000,0
Dec,8.543994056,20000,0
Jan,1.347339604,20000,0
Feb,6.731467306,20000,0
Mar,1.94692772,20000,0
Apr,0.010415216,22000,0
May,1.966035767,22000,0
Jun,1.027230242,22000,0
Jul,1.027902419,28000,0
Aug,1.688827142,20000,0
Sept,9.850950761,20000,0
Oct,7.412711995,20000,0
Nov,2.184280415,20000,0
Dec,9.820210202,20000,0
Jan,9.690199947,20000,0
Feb,6.725107047,30000,0
Mar,0.829383994,30000,0
Apr,7.199071813,30000,0
May,9.637421884,40000,0
Jun,4.178013304,40000,0
Jul,2.55598673,40000,0
Aug,8.944895374,35000,0
Sept,2.696076442,35000,0
Oct,2.715881145,35000,0
Nov,5.416875883,35000,0
Dec,0.959593314,35000,0
Jan,3.34159286,35000,0
Feb,7.512101948,35000,0
Mar,3.308640308,35000,0
Apr,5.198773347,35000,0
May,0.224966165,35000,0
Jun,2.922894281,35000,0
Jul,3.998496989,35000,0
Aug,5.5281045,35000,0
Sept,0.218474817,35000,0
Oct,4.460876312,35000,0
Nov,1.097372805,35000,0
Dec,2.419858714,35000,0
Jan,1.171132184,35000,500000
Feb,8.497151251,35000,0
Mar,6.730709724,35000,0
Apr,2.054290895,35000,0
May,9.952899678,35000,0
Jun,7.332000718,38000,0
Jul,9.108564747,38000,0
Aug,6.008145273,38000,0
Sept,6.952114959,38000,0
Oct,6.086864619,38000,0
Nov,4.542646524,38000,0
Dec,1.415659453,38000,0
Jan,7.443741985,38000,0
Feb,4.903957865,38000,0
Mar,2.075207079,38000,0
Apr,5.249308753,38000,0
May,6.89306878,38000,0
Jun,4.11344946,38000,0
Jul,3.98629957,38000,0
Aug,1.444685107,42500,0
Sept,7.423239855,42500,0
Oct,6.78106221,42500,0
Nov,2.587940147,42500,0
Dec,6.984596935,42500,0
Jan,2.448120301,50000,0
Feb,3.533268525,50000,0
Mar,9.105142652,50000,0
Apr,5.415624526,50000,0
May,2.560834505,50000,0
Jun,6.033229037,50000,0
Jul,6.745117431,50000,0
Aug,4.694446309,55000,0
Sept,3.295556946,55000,0
Oct,1.670623553,55000,0
Nov,6.697440595,55000,0
Dec,6.386957969,55000,0
Jan,2.575756014,55000,0
Feb,9.162722826,55000,0
Mar,8.082368665,55000,0
Apr,1.867157158,55000,0
May,5.204059481,55000,0
Jun,4.799007527,55000,0
Jul,6.6043469,55000,0
Aug,0.868872475,55000,0
Sept,6.59905016,55000,2000000
Oct,7.146657067,55000,0
Nov,7.786243454,60000,0
Dec,8.873483565,60000,0
Jan,1.232589059,60000,0
Feb,6.37681135,60000,0
Mar,8.244770376,60000,0
Apr,1.131530102,60000,0
May,6.82585334,60000,0
Jun,7.682538464,60000,0
Jul,5.595280743,65000,0
Aug,0.550498091,65000,0
Sept,5.308982161,65000,0
Oct,5.260185612,65000,0
Nov,4.73364635,65000,0
Dec,9.854188643,65000,0
Jan,9.5688454,65000,0
Feb,0.738468862,65000,0
Mar,3.178777307,65000,1000000
Apr,5.377839193,65000,0
May,8.7656987,65000,0
Jun,2.460453029,65000,0
Jul,8.529385152,65000,0
Aug,5.735153761,65000,0
Sept,0.737345161,65000,0
Oct,1.205615297,65000,0
Nov,3.796468207,65000,0
Dec,5.574296933,65000,0
Jan,1.318665438,65000,0
Feb,8.658259723,65000,0
Mar,5.349622324,65000,0
Apr,9.623845998,65000,500000
May,8.650093715,65000,0
Jun,5.865449703,65000,0
Jul,1.205615297,65000,0
Aug,3.796468207,65000,0
